ステージ名      ：ステージのコンセプト

kimmy_stage_1   :　謎

main_stage_01       : 歩きとジャンプができるようになる
main_stage_02       : 死ぬことで生まれる残骸を利用するとクリアできることがわかる
main_stage_03       : 酸のギミックを理解する
main_stage_04       : 敵の仕様を理解する。ジャンプすることにリスクがあることがわかる。
main_stage_05       : 棘のギミックの理解と棘の使い方がわかる
main_stage_006      : 初見のインパクトがあるステージ
main_stage_09       : いろんな動きをする敵を避ける
main_stage_10       : 死ぬと簡単になるステージ
main_stage_11_ver2  : 異なる操作性
main_stage_18       : 死ぬと簡単になるアクション性の高いステージ
main_stage_19.3     : 死骸の動きが見ていて面白いステージ
main_stage_20       : クリアルートがたくさんある
main_stage_21		: 疾走感
main_stage_31		: 残骸で自分流の道を作る
main_stage_32		: 進む道を選べる
fan_s2_60fps        : スピーディーなステージ
main_stage_33_ver6  : 残骸を移動させて利用する







